abstract	Osteoblast
abstract	calcineurin-NFAT signaling pathway
abstract	extracellular matrix organization
abstract	dendrite morphogenesis
abstract	release of cytochrome c from mitochondria
abstract	Osteosarcoma
abstract	Transformation
abstract	positive regulation of stress fiber formation
abstract	positive regulation of cell-cell adhesion
abstract	Metastasis
abstract	Fibroblast
abstract	DNA mediated transformation
abstract	actin cytoskeleton reorganization
abstract	determination of left/right symmetry
abstract	angiogenesis
complex	Syndecan-2 dimer
complex	Caspase 3 (tetramer)
complex	Syndecan-2/Neurofibromin
complex	Syndecan-2/TACI
complex	Syndecan-2/GM-CSF
complex	FGFR/FGF/Syndecan-2
complex	alpha5/beta1 Integrin
protein	ERK1-2-active
protein	PKC
protein	ERK1-2
complex	Syndecan-2/CASK/Protein 4.1
complex	Syndecan-2/Kininogen
complex	Syndecan-2/MMP2
complex	Syndecan-2/Ezrin
complex	alpha2/beta1 Integrin
complex	Syndecan-2/RasGAP/Src
complex	Syndecan-2/Laminin alpha3
complex	Syndecan-2/RasGAP
complex	Syndecan-2/Fibronectin
complex	Syndecan-2/alpha2/beta1 Integrin
complex	Syndecan-2/TGFB1
complex	Syndecan-2/RACK1
complex	Syndecan-2/CASK
complex	Syndecan-2/Caveolin-2/Ras
complex	Syndecan-2/Synbindin
protein	Fibronectin
smallMolecule	PI-4-5-P2
complex	Syndecan-2/Syntenin/PI-4-5-P2
protein	PKC delta
complex	Syndecan-2/PKC delta
protein	Laminin alpha3
complex	FGFR/FGF
complex	Syndecan-2/IL8
protein	TRAPPC4
protein	TNFRSF13B
protein	TGFB1
protein	SRC
protein	SDCBP
protein	SDC2
protein	RHOA
protein	RASA1
protein	PRKACA
protein	NF1
protein	MMP2
protein	MAPK8
protein	LAMA1
protein	KNG1
protein	IL8
protein	HRAS
protein	GNB2L1
protein	EZR
protein	EPHB2
protein	EPB41
protein	CSF2
protein	CAV2
protein	CASP3
protein	CASK
protein	BAX
Syndecan-2/MMP2	Metastasis	-ap|
Syndecan-2/Neurofibromin	PRKACA	-a>
TRAPPC4	Syndecan-2/Synbindin	component>
SDC2	Syndecan-2/Synbindin	component>
MAPK8	BAX	-t>
Syndecan-2/Fibronectin	actin cytoskeleton reorganization	-ap>
PI-4-5-P2	Syndecan-2/Syntenin/PI-4-5-P2	component>
SDCBP	Syndecan-2/Syntenin/PI-4-5-P2	component>
SDC2	Syndecan-2/Syntenin/PI-4-5-P2	component>
Laminin alpha3	Syndecan-2/Laminin alpha3	component>
SDC2	Syndecan-2/Laminin alpha3	component>
Syndecan-2/IL8	angiogenesis	-ap>
Fibronectin	Syndecan-2/Fibronectin	component>
SDC2	Syndecan-2/Fibronectin	component>
SDC2	Syndecan-2 dimer	component>
