id	name	source
36952	amb2 Integrin signaling	NCI-PID
36953	Glypican 1 network	NCI-PID
36954	Validated targets of C-MYC transcriptional activation	NCI-PID
36955	Circadian rhythm pathway	NCI-PID
36956	Regulation of cytoplasmic and nuclear SMAD2/3 signaling	NCI-PID
36957	TRAIL signaling pathway	NCI-PID
36958	S1P2 pathway	NCI-PID
36959	mTOR signaling pathway	NCI-PID
36960	Glypican pathway	NCI-PID
36961	Alternative NF-kappaB pathway	NCI-PID
36962	PDGFR-beta signaling pathway	NCI-PID
36963	Regulation of p38-alpha and p38-beta	NCI-PID
36964	Angiopoietin receptor Tie2-mediated signaling	NCI-PID
36965	N-cadherin signaling events	NCI-PID
36966	Signaling events mediated by HDAC Class II	NCI-PID
36967	p75(NTR)-mediated signaling	NCI-PID
36968	E-cadherin signaling in keratinocytes	NCI-PID
36969	ErbB2/ErbB3 signaling events	NCI-PID
36970	Role of Calcineurin-dependent NFAT signaling in lymphocytes	NCI-PID
36971	Arf6 trafficking events	NCI-PID
36972	Alpha-synuclein signaling	NCI-PID
36973	S1P3 pathway	NCI-PID
36974	IFN-gamma pathway	NCI-PID
36975	Ceramide signaling pathway	NCI-PID
36976	CXCR4-mediated signaling events	NCI-PID
36977	Signaling events mediated by Stem cell factor receptor (c-Kit)	NCI-PID
36978	IL4-mediated signaling events	NCI-PID
36979	Canonical NF-kappaB pathway	NCI-PID
36980	Signaling events mediated by the Hedgehog family	NCI-PID
36981	Caspase cascade in apoptosis	NCI-PID
36982	PDGFR-alpha signaling pathway	NCI-PID
36983	Regulation of Telomerase	NCI-PID
36984	Internalization of ErbB1	NCI-PID
36985	C-MYB transcription factor network	NCI-PID
36986	CD40/CD40L signaling	NCI-PID
36987	p53 pathway	NCI-PID
36988	Class I PI3K signaling events	NCI-PID
36989	a6b1 and a6b4 Integrin signaling	NCI-PID
36990	Proteogylcan syndecan-mediated signaling events	NCI-PID
36991	C-MYC pathway	NCI-PID
36992	EGFR-dependent Endothelin signaling events	NCI-PID
36993	IL12 signaling mediated by STAT4	NCI-PID
36994	EPHA2 forward signaling	NCI-PID
36995	HIF-2-alpha transcription factor network	NCI-PID
36996	LPA receptor mediated events	NCI-PID
36997	Sumoylation by RanBP2 regulates transcriptional repression	NCI-PID
36998	Signaling mediated by p38-alpha and p38-beta	NCI-PID
36999	a4b1 and a4b7 Integrin signaling	NCI-PID
37000	IL27-mediated signaling events	NCI-PID
37001	IL2 signaling events mediated by STAT5	NCI-PID
37002	LKB1 signaling events	NCI-PID
37003	S1P4 pathway	NCI-PID
37004	CDC42 signaling events	NCI-PID
37005	Direct p53 effectors	NCI-PID
37006	PLK1 signaling events	NCI-PID
37007	Rapid glucocorticoid signaling	NCI-PID
37008	IL1-mediated signaling events	NCI-PID
37009	ErbB receptor signaling network	NCI-PID
37010	Sphingosine 1-phosphate (S1P) pathway	NCI-PID
37011	Lissencephaly gene (LIS1) in neuronal migration and development	NCI-PID
37012	Paxillin-independent events mediated by a4b1 and a4b7	NCI-PID
37013	Ephrin B reverse signaling	NCI-PID
37014	Syndecan-2-mediated signaling events	NCI-PID
37015	Neurotrophic factor-mediated Trk receptor signaling	NCI-PID
37016	Visual signal transduction: Rods	NCI-PID
37017	Calcineurin-regulated NFAT-dependent transcription in lymphocytes	NCI-PID
37018	Fc-epsilon receptor I signaling in mast cells	NCI-PID
37019	Syndecan-1-mediated signaling events	NCI-PID
37020	VEGFR1 specific signals	NCI-PID
37021	Regulation of RAC1 activity	NCI-PID
37022	Regulation of CDC42 activity	NCI-PID
37023	IL2-mediated signaling events	NCI-PID
37024	Regulation of RhoA activity	NCI-PID
37025	Syndecan-4-mediated signaling events	NCI-PID
37026	Glypican 2 network	NCI-PID
37027	BCR signaling pathway	NCI-PID
37028	HIF-1-alpha transcription factor network	NCI-PID
37029	Signaling events mediated by TCPTP	NCI-PID
37030	FOXA1 transcription factor network	NCI-PID
37031	Noncanonical Wnt signaling pathway	NCI-PID
37032	Signaling events mediated by PTP1B	NCI-PID
37033	Integrins in angiogenesis	NCI-PID
37034	EPO signaling pathway	NCI-PID
37035	BMP receptor signaling	NCI-PID
37036	Arf1 pathway	NCI-PID
37037	CXCR3-mediated signaling events	NCI-PID
37038	EPHB forward signaling	NCI-PID
37039	Signaling by Aurora kinases	NCI-PID
37040	EPHA forward signaling	NCI-PID
37041	IL6-mediated signaling events	NCI-PID
37042	ALK1 signaling events	NCI-PID
37043	HIV-1 Nef: Negative effector of Fas and TNF-alpha	NCI-PID
37044	TCR signaling in na&#xef;ve CD4+ T cells	NCI-PID
37045	FGF signaling pathway	NCI-PID
37046	Syndecan-3-mediated signaling events	NCI-PID
37047	Regulation of retinoblastoma protein	NCI-PID
37048	Insulin-mediated glucose transport	NCI-PID
37049	JNK signaling in the CD4+ TCR pathway	NCI-PID
37050	Hedgehog signaling events mediated by Gli proteins	NCI-PID
37051	ErbB4 signaling events	NCI-PID
37052	S1P5 pathway	NCI-PID
37053	Glucocorticoid receptor regulatory network	NCI-PID
37054	RhoA signaling pathway	NCI-PID
37055	Trk receptor signaling mediated by PI3K and PLC-gamma	NCI-PID
37056	LPA4-mediated signaling events	NCI-PID
40888	Metabolism of serotonin	Reactome
40889	Nonhomologous End-joining (NHEJ)	Reactome
40890	Loss of Nlp from mitotic centrosomes	Reactome
40891	Regulation of gap junction activity	Reactome
40892	Transport of Notch receptor precursor to golgi	Reactome
40893	Dual incision reaction in TC-NER	Reactome
40894	Pyrimidine biosynthesis (interconversion)	Reactome
40895	Formation of Acetoacetic Acid	Reactome
40896	PI3K/AKT signalling	Reactome
40897	Inhibition of Host mRNA Processing and RNA Silencing	Reactome
40898	ADP signalling through P2Y purinoceptor 1	Reactome
40899	Influenza Virus Induced Apoptosis	Reactome
40900	Cooperation of Prefoldin and TriC/CCT  in actin and tubulin folding	Reactome
40901	Peptide ligand-binding receptors	Reactome
40902	Formation of ATP by chemiosmotic coupling	Reactome
40903	Beta oxidation of palmitoyl-CoA to myristoyl-CoA	Reactome
40904	Eicosanoid ligand-binding receptors	Reactome
40905	Thrombin signalling through PARs	Reactome
40906	G alpha (q) signalling events	Reactome
40907	Inactivation of APC/C via direct inhibition of the APC/C complex	Reactome
40908	Activation of Rac	Reactome
40909	Transmission across Electrical Synapses	Reactome
40910	Ketone body metabolism	Reactome
40911	Oxidative decarboxylation of pyruvate to acetyl CoA by pyruvate dehydrogenase	Reactome
40912	Galactose catabolism	Reactome
40913	P2Y receptors	Reactome
40914	HIV-1 Transcription Elongation	Reactome
40915	Initial triggering of complement	Reactome
40916	Assembly of Viral Components at the Budding Site	Reactome
40917	Membrane Trafficking	Reactome
40918	Reversible phosphorylation of cytosolic nucleoside monophosphates by UMP-CMP kinase	Reactome
40919	Aldehyde Dehydrogenase	Reactome
40920	RNA Polymerase III Transcription Initiation From Type 3 Promoter	Reactome
40921	Translation initiation complex formation	Reactome
40922	eNOS acylation cycle	Reactome
40923	Mature Notch receptor trafficks to plasma membrane	Reactome
40924	Conjugation of benzoate with glycine	Reactome
40925	Plasmalogen biosynthesis	Reactome
40926	G beta:gamma signalling through PI3Kgamma	Reactome
40927	Elongation of Intron-Containing Transcripts and co-transcriptional mRNA splicing	Reactome
40928	Poly{(1,4)-alpha-glucosyl} glycogenin reacts with n orthophosphates to form glycogenin and n D-glucose 1-phosphates	Reactome
40929	Recruitment of NuMA to mitotic centrosomes	Reactome
40930	G alpha (z) signalling events	Reactome
40931	Glucagon-type ligand receptors	Reactome
40932	Trafficking of AMPA receptors	Reactome
40933	Interconversion of polyamines	Reactome
40934	Signaling by Wnt	Reactome
40935	Global Genomic NER (GG-NER)	Reactome
40936	Intrinsic Pathway for Apoptosis	Reactome
40937	mRNA Processing	Reactome
40938	AKT-mediated inactivation of FOXO1A	Reactome
40939	Apoptotic cleavage of cellular proteins	Reactome
40940	IRS-mediated signalling	Reactome
40941	Translation	Reactome
40942	RAF phosphorylates MEK	Reactome
40943	Cell death signalling via NRAGE, NRIF and NADE	Reactome
40944	PKA-mediated phosphorylation of key metabolic factors	Reactome
40945	Glycogen synthesis	Reactome
40946	SMAC binds to IAPs	Reactome
40947	Influenza Viral RNA Transcription and Replication	Reactome
40948	DNA strand elongation	Reactome
40949	Tat-mediated HIV-1 elongation arrest and recovery	Reactome
40950	Regulation of thyroid hormone activity	Reactome
40951	Recognition and association of DNA glycosylase with site containing an affected purine	Reactome
40952	Proton-coupled neutral amino acid transporters	Reactome
40953	Integrin cell surface interactions	Reactome
40954	APC/C-mediated degradation of cell cycle proteins	Reactome
40955	FGFR2 ligand binding and activation	Reactome
40956	Apoptosis induced DNA fragmentation	Reactome
40957	Generation of second messenger molecules	Reactome
40958	Insulin receptor recycling	Reactome
40959	Methylation	Reactome
40960	MyD88 cascade	Reactome
40961	PERK regulated gene expression	Reactome
40962	Serotonin Neurotransmitter Release Cycle	Reactome
40963	Vif-mediated degradation of APOBEC3G	Reactome
40964	Nectin/Necl  trans heterodimerization	Reactome
40965	Reversible phosphorylation of mitochondrial nucleoside diphosphates by nucleoside diphosphate kinase D, mitochondrial hexamer	Reactome
40966	NRIF signals cell death from the nucleus	Reactome
40967	Leading Strand Synthesis	Reactome
40968	Assembly of the ORC complex at the origin of replication	Reactome
40969	Oligomerization of connexins into connexons	Reactome
40970	Histamine receptors	Reactome
40971	Glucose uptake	Reactome
40972	SMAC-mediated apoptotic response	Reactome
40973	E2F transcriptional targets at G1/S	Reactome
40974	tRNA Aminoacylation	Reactome
40975	CD28 dependent PI3K/Akt signaling	Reactome
40976	Fusion and Uncoating of the Influenza Virion	Reactome
40977	PKA-mediated phosphorylation of CREB	Reactome
40978	RNA Polymerase I Promoter Opening	Reactome
40979	Reversible phosphorylation of nucleoside monophosphates	Reactome
40980	Platelet Aggregation (Plug Formation)	Reactome
40981	3' -UTR-mediated translational regulation	Reactome
40982	ATP formation	Reactome
40983	Guanine formation	Reactome
40984	Ca-dependent events	Reactome
40985	Notch-HLH transcription pathway	Reactome
40986	Branched-chain amino acid catabolism	Reactome
40987	Conversion of cytosolic inosine 5'-monophosphate (IMP), NAD+, and H2O to xanthosine 5'-monophosphate (XMP) and NADH + H+	Reactome
40988	Signaling by PDGF	Reactome
40989	Amine Oxidase reactions	Reactome
40990	Formation and Maturation of mRNA Transcript	Reactome
40991	Adenosine P1 receptors	Reactome
40992	Agmatine biosynthesis	Reactome
40993	Ubiquitin Mediated Degradation of Phosphorylated Cdc25A	Reactome
40994	Interactions of Vpr with host cellular proteins	Reactome
40995	G beta:gamma signalling through PLC beta	Reactome
40996	Other semaphorin interactions	Reactome
40997	The proton buffering model	Reactome
40998	Formation of the ternary complex, and subsequently, the 43S complex	Reactome
40999	Integrin alphaIIbbeta3 signaling	Reactome
41000	Disinhibition of SNARE formation	Reactome
41001	Formation of RNA Pol II elongation complex	Reactome
41002	CREB phosphorylation	Reactome
41003	CYP2E1 reactions	Reactome
41004	Glucose Regulation of Insulin Secretion	Reactome
41005	Beta oxidation of hexanoyl-CoA to butanoyl-CoA	Reactome
41006	Telomere C-strand synthesis initiation	Reactome
41007	G-protein beta:gamma signalling	Reactome
41008	Purine catabolism	Reactome
41009	Signaling by Robo receptor	Reactome
41010	Mineralocorticoid biosynthesis	Reactome
41011	Hydrolysis of cytosolic nucleoside 5'- and 3'-monophosphates by 5',3'-nucleotidase, cytosolic	Reactome
41012	Ornithine metabolism	Reactome
41013	Vasopressin-like receptors	Reactome
41014	Formation of Fibrin Clot (Clotting Cascade)	Reactome
41015	FGFR4 ligand binding and activation	Reactome
41016	Cyclin B2 mediated events	Reactome
41017	Synthesis of lysophosphatidic acid from glycerol-3-phosphate	Reactome
41018	FMO oxidizes nucleophiles	Reactome
41019	Resolution of D-loop structures through Holliday junction intermediates	Reactome
41020	Regulation of Commissural axon pathfinding by Slit and Robo	Reactome
41021	Exocytosis of Alpha granule	Reactome
41022	Tat-mediated elongation of the HIV-1 transcript	Reactome
41023	FMO reactions	Reactome
41024	Unwinding of DNA	Reactome
41025	Inactivation of Cdc42 and Rac	Reactome
41026	Valine catabolism	Reactome
41027	Terminal pathway of complement	Reactome
41028	Class A/1 (Rhodopsin-like receptors)	Reactome
41029	Glucagon signaling in metabolic regulation	Reactome
41030	FGFR1c and Klotho ligand binding and activation	Reactome
41031	Regulation of DNA replication	Reactome
41032	Breakdown of the nuclear lamina	Reactome
41033	NEP/NS2 Interacts with the Cellular Export Machinery	Reactome
41034	Tryptophan catabolism	Reactome
41035	Purine salvage reactions	Reactome
41036	Synthesis of DNA	Reactome
41037	Pyruvate metabolism	Reactome
41038	RNA Pol II CTD phosphorylation and interaction with CE	Reactome
41039	G alpha (i) signalling events	Reactome
41040	mTOR signalling	Reactome
41041	IRS-related events	Reactome
41042	G2/M DNA replication checkpoint	Reactome
41043	Influenza Infection	Reactome
41044	Shc events in EGFR signaling	Reactome
41045	Conjugation of phenylacetate with glutamine	Reactome
41046	Trafficking of GluR2-containing AMPA receptors	Reactome
41047	Elevation of cytosolic Ca2+ levels	Reactome
41048	FasL/ CD95L signaling	Reactome
41049	Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins	Reactome
41050	Lysosome Vesicle Biogenesis	Reactome
41051	Metabolism of folate and pterines	Reactome
41052	Recognition and association of DNA glycosylase with site containing an affected pyrimidine	Reactome
41053	Notch receptor binds with a ligand	Reactome
41054	Base-Excision Repair, AP Site Formation	Reactome
41055	mRNA Editing	Reactome
41056	Metabolism of carbohydrates	Reactome
41057	Vitamin B5 (pantothenate) metabolism	Reactome
41058	Steroid metabolism	Reactome
41059	Alternative complement activation	Reactome
41060	vRNP Assembly	Reactome
41061	Dual incision reaction in GG-NER	Reactome
41062	Loss of proteins required for interphase microtubule organization from the centrosome	Reactome
41063	p53-Independent G1/S DNA damage checkpoint	Reactome
41064	Repair synthesis for gap-filling by DNA polymerase in TC-NER	Reactome
41065	Ubiquitin-dependent degradation of Cyclin D	Reactome
41066	Basigin interactions	Reactome
41067	Glycogen breakdown (glycogenolysis)	Reactome
41068	MAP kinase cascade	Reactome
41069	Glucose and other sugar SLC transporters	Reactome
41070	Dihydroxyacetone phosphate is isomerized to form glyceraldehyde-3-phosphate	Reactome
41071	Reversible phosphorylation of cytosolic nucleoside monophosphates by guanylate kinase 1	Reactome
41072	TRKA signalling from the plasma membrane	Reactome
41073	Depyrimidination	Reactome
41074	Tight junction interactions	Reactome
41075	Nef Mediated CD4 Down-regulation	Reactome
41076	Phosphorylation of cytosolic nucleosides by uridine-cytidine kinase 2	Reactome
41077	Tachykinin receptors bind tachykinins	Reactome
41078	COX reactions	Reactome
41079	Polymerase switching on the C-strand of the telomere	Reactome
41080	Acetaldehyde is oxidized by NAD+ to form acetate, NADH, and H+	Reactome
41081	Sodium-coupled phosphate cotransporters	Reactome
41082	PKB-mediated events	Reactome
41083	PKA activation	Reactome
41084	Phosphorylation of proteins involved in the G2/M transition by Cyclin A:Cdc2 complexes	Reactome
41085	Assembly of the pre-replicative complex	Reactome
41086	SMAC-mediated dissociation of IAP:caspase complexes	Reactome
41087	Mitotic Spindle Checkpoint	Reactome
41088	Regulatory RNA pathways	Reactome
41089	G alpha (12/13) signalling events	Reactome
41090	Toll Like Receptor 10 (TLR10) Cascade	Reactome
41091	Transport of Mature mRNAs Derived from Intronless Transcripts	Reactome
41092	Hormone ligand-binding receptors	Reactome
41093	Hydrolysis of extracellular nucleoside 5'-monophosphates by plasma membrane-bound 5'-nucleotidase	Reactome
41094	Activation of caspases through apoptosome-mediated cleavage	Reactome
41095	Innate Immunity Signaling	Reactome
41096	Regulation of gene expression in beta cells	Reactome
41097	snRNP Assembly	Reactome
41098	SOS-mediated signalling	Reactome
41099	G(s)-alpha mediated events in glucagon signalling	Reactome
41100	mRNA Splicing - Minor Pathway	Reactome
41101	Androgen biosynthesis	Reactome
41102	Glutamate Neurotransmitter Release Cycle	Reactome
41103	HIV Life Cycle	Reactome
41104	mitochondrial fatty acid beta-oxidation of unsaturated fatty acids	Reactome
41105	PD-1 signaling	Reactome
41106	Host Interactions of HIV factors	Reactome
41107	Signalling to ERK5	Reactome
41108	SLC-mediated transmembrane transport	Reactome
41109	PLC beta mediated events	Reactome
41110	Negative regulation of the PI3K/AKT network	Reactome
41111	G1/S DNA Damage Checkpoints	Reactome
41112	Activated AMPK stimulates fatty-acid oxidation in muscle	Reactome
41113	Response to elevated platelet cytosolic Ca++	Reactome
41114	Fatty acids	Reactome
41115	Cam-PDE 1 activation	Reactome
41116	Biological oxidations	Reactome
41117	DNA replication initiation	Reactome
41118	SEMA3A-Plexin repulsion signaling by inhibiting Integrin adhesion	Reactome
41119	MicroRNA (miRNA) Biogenesis	Reactome
41120	Cytosolic tRNA aminoacylation	Reactome
41121	Lysine catabolism	Reactome
41122	NOSIP mediated eNOS trafficking	Reactome
41123	Insulin effects increased synthesis of Xylulose-5-Phosphate	Reactome
41124	Pyrimidine salvage reactions	Reactome
41125	Striated Muscle Contraction	Reactome
41126	E2F mediated regulation of DNA replication	Reactome
41127	Toll Like Receptor 5 (TLR5) Cascade	Reactome
41128	Viral Messenger RNA Synthesis	Reactome
41129	Electron Transport Chain	Reactome
41130	Regulation of ornithine decarboxylase (ODC)	Reactome
41131	Removal of DNA patch containing abasic residue	Reactome
41132	eNOS activation and regulation	Reactome
41133	Catecholamines biosynthesis	Reactome
41134	Translesion synthesis by Pol zeta	Reactome
41135	Fanconi Anemia pathway	Reactome
41136	Regulation of beta-cell development	Reactome
41137	NS1 Mediated Effects on Host Pathways	Reactome
41138	Synthesis of bile acids and bile salts via 24-hydroxycholesterol	Reactome
41139	Apoptotic cleavage of cell adhesion  proteins	Reactome
41140	Hydrolysis of cytosolic nucleoside 5'-monophosphates by 5'-nucleotidase cytosolic IA	Reactome
41141	RNA Polymerase II HIV-1 Promoter Escape	Reactome
41142	C6 deamination of adenosine	Reactome
41143	Nicotinamide salvaging	Reactome
41144	Reversible phosphorolysis of pyrimidine nucleosides by thymidine phosphorylase	Reactome
41145	ER to Golgi Transport	Reactome
41146	Muscarinic acetylcholine receptors	Reactome
41147	Glycolysis	Reactome
41148	Facilitative Na+-independent glucose transporters	Reactome
41149	S6K1 signalling	Reactome
41150	Synthesis of bile acids and bile salts via 27-hydroxycholesterol	Reactome
41151	Resolution of D-loop structures through synthesis-dependent strand-annealing	Reactome
41152	Toll Like Receptor 7/8 (TLR7/8) Cascade	Reactome
41153	SCF-beta-TrCP mediated degradation of Emi1	Reactome
41154	De novo synthesis of UMP	Reactome
41155	Transport of connexons to the plasma membrane	Reactome
41156	Transport of Mature mRNA derived from an Intron-Containing Transcript	Reactome
41157	Extrinsic Pathway	Reactome
41158	Toll Like Receptor TLR1:TLR2 Cascade	Reactome
41159	Nuclear import of Rev protein	Reactome
41160	Peptide hormones	Reactome
41161	FGFR ligand binding and activation	Reactome
41162	Amino Acid conjugation	Reactome
41163	Removal of the Flap Intermediate	Reactome
41164	mRNA Editing: C to U Conversion	Reactome
41165	RNA Polymerase II Transcription Initiation	Reactome
41166	FGFR1c ligand binding and activation	Reactome
41167	Gap junction assembly	Reactome
41168	Activation, myristolyation of BID and translocation to mitochondria	Reactome
41169	Metabolism of lipids and lipoproteins	Reactome
41170	Activation of Chaperones by IRE1alpha	Reactome
41171	Phosphorylation of Emi1	Reactome
41172	Amplification  of signal from unattached  kinetochores via a MAD2  inhibitory signal	Reactome
41173	Phosphorylation of cytosolic nucleosides by uridine-cytidine kinase 1	Reactome
41174	RNA Polymerase III Transcription Initiation From Type 1 Promoter	Reactome
41175	Signaling by VEGF	Reactome
41176	Formation of apoptosome	Reactome
41177	dATP formation	Reactome
41178	Release of apoptotic factors from the mitochondria	Reactome
41179	Phosphorylation of cytosolic nucleosides by adenosine kinase	Reactome
41180	PECAM1 interactions	Reactome
41181	De novo synthesis of IMP	Reactome
41182	Nef mediated downregulation of CD28 cell surface expression	Reactome
41183	Toll Like Receptor 3 (TLR3) Cascade	Reactome
41184	Inhibition of replication initiation of damaged DNA by Rb/E2F1	Reactome
41185	Neurotransmitter Release Cycle	Reactome
41186	vWF interaction with collagen	Reactome
41187	phospho-PLA2 pathway	Reactome
41188	Amino acid transport across the plasma membrane	Reactome
41189	Hormone-sensitive lipase (HSL)-mediated triacylglycerol hydrolysis	Reactome
41190	Translocation of BoNT Light chain	Reactome
41191	Signaling by BMP	Reactome
41192	Hydrolysis of nucleoside 5'-monophosphates to nucleosides plus orthophosphate	Reactome
41193	Utilization of Ketone Bodies	Reactome
41194	G2 Phase	Reactome
41195	RNA Polymerase II Transcription Elongation	Reactome
41196	Cleavage of the damaged pyrimidine	Reactome
41197	Synthesis of dolichol-phosphate mannose	Reactome
41198	5-Phosphoribose 1-diphosphate biosynthesis	Reactome
41199	Receptor-ligand complexes bind G proteins	Reactome
41200	Neurotransmitter uptake and Metabolism In Glial Cells	Reactome
41201	Stimulation of the cell death response by PAK-2p34	Reactome
41202	Sema3A PAK dependent Axon repulsion	Reactome
41203	Sphingolipid metabolism	Reactome
41204	Signal attenuation	Reactome
41205	Hemostasis	Reactome
41206	Regulation of gene expression in endocrine-committed (NEUROG3+) progenitor cells	Reactome
41207	APOBEC3G mediated resistance to HIV-1 infection	Reactome
41208	Nef Mediated CD8 Down-regulation	Reactome
41209	EGFR downregulation	Reactome
41210	Glycogen-glycogenin reacts with n orthophosphates, yielding n glucose 1-phosphates and limit dextrin-glycogenin	Reactome
41211	Cleavage of Growing Transcript in the Termination Region	Reactome
41212	Nucleotide-like (purinergic) receptors	Reactome
41213	NRAGE signals death through JNK	Reactome
41214	Processing of Capped Intron-Containing Pre-mRNA	Reactome
41215	Signalling to STAT3	Reactome
41216	Inosine formation	Reactome
41217	ARMS-mediated activation	Reactome
41218	Multifunctional anion exchangers	Reactome
41219	Early Phase of HIV Life Cycle	Reactome
41220	Further platelet releasate	Reactome
41221	Conversion from APC/C:Cdc20 to APC/C:Cdh1 in late anaphase	Reactome
41222	SCF(Skp2)-mediated degradation of p27/p21	Reactome
41223	Hydrolysis of cytosolic nucleoside 5'-monophosphates by 5'-nucleotidase, cytosolic III	Reactome
41224	Opioid Signalling	Reactome
41225	Base Excision Repair	Reactome
41226	AKT phosphorylates targets in the nucleus	Reactome
41227	Negative Regulation of Glucokinase by Glucokinase Regulatory Protein	Reactome
41228	mitochondrial fatty acid beta-oxidation of saturated fatty acids	Reactome
41229	Telomere Extension By Telomerase	Reactome
41230	APC/C:Cdc20 mediated degradation of Cyclin B	Reactome
41231	Steroid hormone biosynthesis	Reactome
41232	PDE3B signalling	Reactome
41233	Regulation of pyruvate dehydrogenase complex (PDC)	Reactome
41234	Caspase-8 is formed from procaspase-8	Reactome
41235	Prostanoid ligand receptors	Reactome
41236	Maturation of Notch precursor via proteolytic cleavage	Reactome
41237	Unknown	Reactome
41238	Transport of nucleosides and free purine and pyrimidine bases across the plasma membrane	Reactome
41239	Muscle contraction	Reactome
41240	Metabolism of non-coding RNA	Reactome
41241	Phosphorylated glycogen synthase catalyzes the addition of glucose residues to the non-reducing end of a (1,4)-alpha-D-glucose multimer when activated by glucose-6-phosphate	Reactome
41242	Processive synthesis on the lagging strand	Reactome
41243	Clathrin derived vesicle budding	Reactome
41244	Inhibition of PKR	Reactome
41245	p75NTR regulates axonogenesis	Reactome
41246	HIV-1 Transcription Initiation	Reactome
41247	Oxidative decarboxylation of alpha-ketoisovalerate to isobutyryl-CoA by branched-chain alpha-ketoacid dehydrogenase	Reactome
41248	Fructose catabolism	Reactome
41249	Adenylate cyclase activating pathway	Reactome
41250	HIV-1 elongation arrest and recovery	Reactome
