abstract	regulation of actin nucleation
abstract	regulation of cell-cell adhesion
abstract	adherens junction assembly
abstract	positive regulation of S phase of mitotic cell cycle
abstract	regulation of calcium-dependent cell-cell adhesion
abstract	homophilic cell adhesion
abstract	regulation of heterotypic cell-cell adhesion
abstract	actin cytoskeleton organization
abstract	clathrin coat assembly
complex	CDC42/GDP
complex	Rap1/GTP
complex	ABI1/Sra1/Nap1
complex	Rap1/GTP/I-afadin
complex	alphaE/beta7 Integrin
complex	E-cadherin/Ca2+/gamma catenin/alpha catenin/p120 catenin
protein	KLEIP
complex	PIP5K1C/AP1M1
complex	CDC42/GTP/IQGAP1
complex	RAP1/GDP
complex	RhoA/GDP
complex	E-cadherin(dimer)/Ca2+
complex	E-cadherin/gamma catenin/alpha catenin/beta7/alphaE Integrin
complex	E-cadherin/beta catenin
complex	CK2
complex	RAC1/GDP
complex	E-cadherin/beta catenin/alpha catenin
complex	CDC42/GTP
complex	E-cadherin/beta catenin/alpha catenin/beta7/alphaE Integrin
complex	ARF6/GTP/NME1/Tiam1
complex	E-cadherin/gamma catenin
complex	E-cadherin/beta catenin/alpha catenin/p120 catenin
complex	PAK1
smallMolecule	PI-3-4-5-P3
complex	E-cadherin/gamma catenin/alpha catenin
complex	E-cadherin/Ca2+/beta catenin/alpha catenin/p120 catenin
complex	Arp2/3 complex
complex	p120 catenin/RhoA/GDP
smallMolecule	PI-4-5-P2
complex	PI3K
complex	E-cadherin/Ca2+/beta catenin/alpha catenin
smallMolecule	Ca2+
complex	RAC1/GTP/IQGAP1
protein	Cortactin
smallMolecule	GDP
smallMolecule	GTP
protein	WASF2
protein	VAV2
protein	TJP1
protein	SRC
protein	SRA1
protein	RAPGEF1
protein	PIP5K1C
protein	NCKAP1
protein	IQGAP1
protein	ENAH
protein	DLG1
protein	CTNND1
protein	CTNNA1
protein	CRK
protein	CCND1
protein	AP1M1
protein	AKT1
protein	ABI1
CDC42/GTP	CDC42/GTP/IQGAP1	component>
p120 catenin/RhoA/GDP	RhoA/GDP	-a>
p120 catenin/RhoA/GDP	E-cadherin/beta catenin/alpha catenin/p120 catenin	-a>
E-cadherin/beta catenin/alpha catenin	RhoA/GDP	-a>
E-cadherin/beta catenin/alpha catenin	E-cadherin/beta catenin/alpha catenin/p120 catenin	-a>
E-cadherin/Ca2+/beta catenin/alpha catenin/p120 catenin	DLG1	-a>
KLEIP	actin cytoskeleton organization	-ap>
ABI1	ABI1/Sra1/Nap1	component>
SRA1	ABI1/Sra1/Nap1	component>
NCKAP1	ABI1/Sra1/Nap1	component>
PAK1	CCND1	-t>
Ca2+	E-cadherin/Ca2+/gamma catenin/alpha catenin/p120 catenin	component>
CTNND1	E-cadherin/Ca2+/gamma catenin/alpha catenin/p120 catenin	component>
E-cadherin/gamma catenin/alpha catenin	E-cadherin/Ca2+/gamma catenin/alpha catenin/p120 catenin	component>
alphaE/beta7 Integrin	E-cadherin/beta catenin/alpha catenin/beta7/alphaE Integrin	component>
E-cadherin/beta catenin/alpha catenin	E-cadherin/beta catenin/alpha catenin/beta7/alphaE Integrin	component>
clathrin coat assembly	E-cadherin/beta catenin	-a>
GTP	PAK1	-a>
RAC1/GDP	GDP	-a>
RAC1/GDP	PAK1	-a>
CDC42/GTP	regulation of cell-cell adhesion	-ap>
IQGAP1	RAC1/GTP/IQGAP1	component>
PAK1	RAC1/GTP/IQGAP1	component>
E-cadherin/Ca2+/beta catenin/alpha catenin/p120 catenin	Cortactin	-a>
E-cadherin/gamma catenin/alpha catenin/beta7/alphaE Integrin	regulation of heterotypic cell-cell adhesion	-ap>
E-cadherin/Ca2+/beta catenin/alpha catenin/p120 catenin	TJP1	-a>
Cortactin	Arp2/3 complex	-a>
DLG1	PI3K	-a>
E-cadherin/beta catenin/alpha catenin/beta7/alphaE Integrin	regulation of heterotypic cell-cell adhesion	-ap>
CRK	RAPGEF1	-a>
PI-4-5-P2	PI-3-4-5-P3	-a>
E-cadherin/Ca2+/beta catenin/alpha catenin/p120 catenin	regulation of calcium-dependent cell-cell adhesion	-ap>
CCND1	positive regulation of S phase of mitotic cell cycle	-ap>
GTP	CDC42/GTP	-a>
CDC42/GDP	GDP	-a>
CDC42/GDP	CDC42/GTP	-a>
E-cadherin/Ca2+/beta catenin/alpha catenin/p120 catenin	ENAH	-a>
GTP	GDP	-a>
GTP	Rap1/GTP	-a>
RAP1/GDP	GDP	-a>
RAP1/GDP	Rap1/GTP	-a>
PIP5K1C	PIP5K1C/AP1M1	component>
AP1M1	PIP5K1C/AP1M1	component>
CTNND1	E-cadherin/Ca2+/beta catenin/alpha catenin/p120 catenin	component>
E-cadherin/Ca2+/beta catenin/alpha catenin	E-cadherin/Ca2+/beta catenin/alpha catenin/p120 catenin	component>
PI-3-4-5-P3	AKT1	-a>
ENAH	Arp2/3 complex	-a>
CTNNA1	E-cadherin/beta catenin/alpha catenin	component>
E-cadherin/beta catenin	E-cadherin/beta catenin/alpha catenin	component>
SRC	CRK	-a>
SRC	VAV2	-a>
