abstract	cortical actin cytoskeleton organization
abstract	cell migration
smallMolecule	DAG
complex	RAS family/GTP
complex	EGFR/EGFR/EGF/EGF/PLCgamma1
complex	RAS family/GDP
complex	GRB2/N-WASP
complex	EGFR/EGFR/EGF/EGF/GRB2
protein	ERK1-2-active
complex	EGFR/EGFR/EGF/EGF/RasGAP
complex	PI3K Class IA family
complex	EGFR/EGFR/EGF/EGF/FAK
complex	GRB2/SOS1
complex	Gelsolin/PI-4-5-P2
complex	EGFR/EGFR/EGF/EGF/GRB2/N-WASP
complex	EGFR/EGFR/EGF/EGF/GRB2/PAK1
complex	EGFR/EGFR/EGF/EGF/NCK1-2/PAK1
complex	p66 SHC/GRB2/SOS1
complex	GRB2/PAK1
smallMolecule	phosphate
complex	NCK1-2/PAK1
complex	EGFR/EGFR/EGF/EGF/GRB2/GAB1/RasGAP
protein	JAK1-JAK2
complex	EGFR/EGFR/EGF/EGF/JAK1-JAK2
complex	PIP5K1C/Talin
complex	EGFR/EGFR/EGF/EGF/p52 SHC
complex	EGFR/EGFR/EGF/EGF/GRB2/GAB1
complex	EGFR/EGFR/EGF/EGF/p46 SHC/GRB2/SOS1
complex	EGFR/EGFR/EGF/EGF/p46 SHC
smallMolecule	PI-4-5-P2
protein	p52 SHC
complex	EGFR/EGFR/EGF/EGF/p52 SHC/GRB2/SOS1
protein	p66 SHC
complex	EGFR/EGFR/EGF/EGF/p66 SHC
smallMolecule	IP3
complex	EGFR/EGFR/EGF/EGF/GNAI1/GNAI3/GAB1/RasGAP
complex	EGFR/EGFR/EGF/EGF
protein	FAK
complex	EGFR/EGFR/EGF/EGF/GNAI1/GNAI3/GAB1
protein	SHP2
complex	EGFR/EGFR/EGF/EGF/GRB2/SOS1
smallMolecule	GDP
smallMolecule	GTP
protein	TLN1
protein	STAT3
protein	STAT1
protein	SRC
protein	SHC1
protein	RASA1
protein	PTPN6
protein	PTPN1
protein	PLCG1
protein	PIP5K1C
protein	GSN
protein	GRB2
protein	GNAI3
protein	GNAI1
protein	GAB1
EGFR/EGFR/EGF/EGF/p46 SHC/GRB2/SOS1	EGFR/EGFR/EGF/EGF/p46 SHC	component>
EGFR/EGFR/EGF/EGF/GRB2/GAB1	PI3K Class IA family	-a>
GSN	cell migration	-ap>
EGFR/EGFR/EGF/EGF/p52 SHC/GRB2/SOS1	GRB2/SOS1	component>
EGFR/EGFR/EGF/EGF/p52 SHC/GRB2/SOS1	EGFR/EGFR/EGF/EGF/p52 SHC	component>
RASA1	EGFR/EGFR/EGF/EGF/GNAI1/GNAI3/GAB1	component>
RASA1	EGFR/EGFR/EGF/EGF/GNAI1/GNAI3/GAB1/RasGAP	component>
EGFR/EGFR/EGF/EGF/GNAI1/GNAI3/GAB1	EGFR/EGFR/EGF/EGF/GNAI1/GNAI3/GAB1	component>
EGFR/EGFR/EGF/EGF/GNAI1/GNAI3/GAB1	EGFR/EGFR/EGF/EGF/GNAI1/GNAI3/GAB1/RasGAP	component>
EGFR/EGFR/EGF/EGF/GRB2/GAB1	SHP2	-a>
EGFR/EGFR/EGF/EGF/JAK1-JAK2	STAT3	-a>
EGFR/EGFR/EGF/EGF/GRB2/N-WASP	cortical actin cytoskeleton organization	-ap>
FAK	EGFR/EGFR/EGF/EGF/FAK	component>
EGFR/EGFR/EGF/EGF	EGFR/EGFR/EGF/EGF/FAK	component>
EGFR/EGFR/EGF/EGF	PIP5K1C	-a>
EGFR/EGFR/EGF/EGF/GNAI1/GNAI3/GAB1	SHP2	-a>
RASA1	EGFR/EGFR/EGF/EGF	component>
RASA1	EGFR/EGFR/EGF/EGF/RasGAP	component>
EGFR/EGFR/EGF/EGF	EGFR/EGFR/EGF/EGF	component>
EGFR/EGFR/EGF/EGF	EGFR/EGFR/EGF/EGF/RasGAP	component>
GRB2	EGFR/EGFR/EGF/EGF/GRB2	component>
EGFR/EGFR/EGF/EGF	EGFR/EGFR/EGF/EGF/GRB2	component>
EGFR/EGFR/EGF/EGF/p52 SHC	EGFR/EGFR/EGF/EGF/p52 SHC	component>
EGFR/EGFR/EGF/EGF/p52 SHC	EGFR/EGFR/EGF/EGF/p46 SHC	component>
EGFR/EGFR/EGF/EGF/p52 SHC	p66 SHC/GRB2/SOS1	component>
EGFR/EGFR/EGF/EGF/p46 SHC	EGFR/EGFR/EGF/EGF/p52 SHC	component>
EGFR/EGFR/EGF/EGF/p46 SHC	EGFR/EGFR/EGF/EGF/p46 SHC	component>
EGFR/EGFR/EGF/EGF/p46 SHC	p66 SHC/GRB2/SOS1	component>
GRB2/SOS1	EGFR/EGFR/EGF/EGF/p52 SHC	component>
GRB2/SOS1	EGFR/EGFR/EGF/EGF/p46 SHC	component>
GRB2/SOS1	p66 SHC/GRB2/SOS1	component>
p66 SHC	EGFR/EGFR/EGF/EGF/p52 SHC	component>
p66 SHC	EGFR/EGFR/EGF/EGF/p46 SHC	component>
p66 SHC	p66 SHC/GRB2/SOS1	component>
EGFR/EGFR/EGF/EGF/JAK1-JAK2	STAT1	-a>
EGFR/EGFR/EGF/EGF/GNAI1/GNAI3/GAB1	EGFR/EGFR/EGF/EGF/GNAI1/GNAI3/GAB1	-a>
EGFR/EGFR/EGF/EGF	PTPN1	-a>
SHC1	EGFR/EGFR/EGF/EGF/p46 SHC	component>
EGFR/EGFR/EGF/EGF	EGFR/EGFR/EGF/EGF/p46 SHC	component>
PIP5K1C/Talin	cell migration	-ap>
GRB2/N-WASP	EGFR/EGFR/EGF/EGF/GRB2/N-WASP	component>
EGFR/EGFR/EGF/EGF	EGFR/EGFR/EGF/EGF/GRB2/N-WASP	component>
TLN1	PIP5K1C/Talin	component>
PIP5K1C	PIP5K1C/Talin	component>
JAK1-JAK2	EGFR/EGFR/EGF/EGF/JAK1-JAK2	component>
EGFR/EGFR/EGF/EGF	EGFR/EGFR/EGF/EGF/JAK1-JAK2	component>
EGFR/EGFR/EGF/EGF/FAK	cell migration	-ap>
p52 SHC	EGFR/EGFR/EGF/EGF/p52 SHC	component>
EGFR/EGFR/EGF/EGF	EGFR/EGFR/EGF/EGF/p52 SHC	component>
EGFR/EGFR/EGF/EGF/GRB2/GAB1	EGFR/EGFR/EGF/EGF/GRB2/GAB1	-a>
GAB1	EGFR/EGFR/EGF/EGF/GNAI1/GNAI3/GAB1	component>
GNAI3	EGFR/EGFR/EGF/EGF/GNAI1/GNAI3/GAB1	component>
GNAI1	EGFR/EGFR/EGF/EGF/GNAI1/GNAI3/GAB1	component>
EGFR/EGFR/EGF/EGF	EGFR/EGFR/EGF/EGF/GNAI1/GNAI3/GAB1	component>
GDP	phosphate	-a>
GDP	RAS family/GDP	-a>
RAS family/GTP	phosphate	-a>
RAS family/GTP	RAS family/GDP	-a>
PLCG1	EGFR/EGFR/EGF/EGF/PLCgamma1	component>
EGFR/EGFR/EGF/EGF	EGFR/EGFR/EGF/EGF/PLCgamma1	component>
Gelsolin/PI-4-5-P2	DAG	component>
Gelsolin/PI-4-5-P2	IP3	component>
Gelsolin/PI-4-5-P2	GSN	component>
GRB2/SOS1	EGFR/EGFR/EGF/EGF/GRB2/SOS1	component>
EGFR/EGFR/EGF/EGF	EGFR/EGFR/EGF/EGF/GRB2/SOS1	component>
GAB1	EGFR/EGFR/EGF/EGF/GRB2/GAB1	component>
EGFR/EGFR/EGF/EGF/GRB2	EGFR/EGFR/EGF/EGF/GRB2/GAB1	component>
PI-4-5-P2	DAG	-a>
PI-4-5-P2	IP3	-a>
GTP	GDP	-a>
GTP	RAS family/GTP	-a>
RAS family/GDP	GDP	-a>
RAS family/GDP	RAS family/GTP	-a>
EGFR/EGFR/EGF/EGF/p66 SHC	p66 SHC	component>
EGFR/EGFR/EGF/EGF/p66 SHC	EGFR/EGFR/EGF/EGF	component>
GRB2/PAK1	EGFR/EGFR/EGF/EGF/GRB2/PAK1	component>
EGFR/EGFR/EGF/EGF	EGFR/EGFR/EGF/EGF/GRB2/PAK1	component>
EGFR/EGFR/EGF/EGF	EGFR/EGFR/EGF/EGF	-a>
EGFR/EGFR/EGF/EGF	PTPN6	-a>
GRB2/SOS1	EGFR/EGFR/EGF/EGF/p46 SHC/GRB2/SOS1	component>
EGFR/EGFR/EGF/EGF/p46 SHC	EGFR/EGFR/EGF/EGF/p46 SHC/GRB2/SOS1	component>
p66 SHC	EGFR/EGFR/EGF/EGF/p66 SHC	component>
EGFR/EGFR/EGF/EGF	EGFR/EGFR/EGF/EGF/p66 SHC	component>
GRB2/SOS1	EGFR/EGFR/EGF/EGF/p52 SHC/GRB2/SOS1	component>
EGFR/EGFR/EGF/EGF/p52 SHC	EGFR/EGFR/EGF/EGF/p52 SHC/GRB2/SOS1	component>
NCK1-2/PAK1	EGFR/EGFR/EGF/EGF/NCK1-2/PAK1	component>
EGFR/EGFR/EGF/EGF	EGFR/EGFR/EGF/EGF/NCK1-2/PAK1	component>
