abstract	regulation of attachment of spindle microtubules to kinetochore
abstract	regulation of mitotic centrosome separation
abstract	interphase
abstract	microtubule-based process
abstract	G2/M transition DNA damage checkpoint
abstract	microtubule cytoskeleton organization
abstract	Golgi organization
abstract	metaphase plate congression
abstract	metaphase
abstract	regulation of centriole-centriole cohesion
abstract	positive regulation of microtubule depolymerization
abstract	spindle stabilization
abstract	chromosome segregation
abstract	anaphase
abstract	spindle elongation
abstract	mitosis
abstract	spindle assembly
abstract	G2/M transition of mitotic cell cycle
abstract	cytokinesis
abstract	mitotic prometaphase
abstract	DNA damage
abstract	prophase
abstract	proteasomal ubiquitin-dependent protein catabolic process
abstract	G2 phase of mitotic cell cycle
protein	beta TrCP1-2
protein	Cenexin 1
complex	Aurora A/BORA
complex	Hec1/SPC24
protein	MAD2
protein	Kizuna
complex	GRASP65/GM130/RAB1/GTP
complex	PICH/PLK1
complex	NLP/gamma Tubulin
protein	PRC1-2
complex	PLK1/PRC1-2
complex	GRASP65/GM130/RAB1/GTP/PLK1
complex	PP2A-alpha B56
complex	APC/C/HCDH1
protein	BUBR1
protein	CLASPIN
complex	Cohesin/SA2
complex	PPP1CB/MYPT1
complex	MKLP2/PLK1
complex	Cyclin B1/CDK1
complex	PLK1/PBIP1
complex	APC/C/CDC20
complex	RhoA/GTP
protein	Aurora A
protein	WEE1
protein	TUBG1
protein	TPX2
protein	TPT1
protein	SGOL1
protein	ROCK2
protein	PLK1
protein	PAK1
protein	NUDC
protein	NLP
protein	MLF1IP
protein	KIF2A
protein	KIF20A
protein	INCENP
protein	FBXO5
protein	ERCC6L
protein	ECT2
protein	CENPE
protein	CDC25C
protein	CDC25B
protein	CDC14B
protein	C13orf34
protein	BUB1
prophase	CDC25C	-a>
Cyclin B1/CDK1	ERCC6L	-a>
PLK1/PBIP1	MAD2	-a>
KIF2A	positive regulation of microtubule depolymerization	-ap>
Kizuna	spindle stabilization	-ap>
PLK1	CENPE	-a>
PLK1/PBIP1	chromosome segregation	-ap>
anaphase	spindle elongation	-ap>
PLK1	C13orf34	-a>
PLK1	PICH/PLK1	component>
ERCC6L	PICH/PLK1	component>
PLK1	CDC25C	-a>
mitosis	SGOL1	-a>
mitosis	Aurora A	-a>
PLK1	KIF2A	-a>
PLK1	Hec1/SPC24	-a>
mitotic prometaphase	BUBR1	-a>
prophase	SGOL1	-a>
G2 phase of mitotic cell cycle	PLK1	-a>
