protein	IRS2
protein	SH2B3
protein	MAPK14
protein	RAPGEF1
protein	GAB1
protein	SOS1
protein	BCL2L1
protein	BTK
protein	PTPN11
protein	GRB2
protein	RAP1A
protein	VAV2
protein	STAT5B
protein	CRKL
protein	MAPK8
protein	TEC
protein	STAT5A
protein	STAT1
protein	SHC1
protein	PTPN6
protein	PIK3R1
protein	CBL
protein	NFKB1
protein	EPOR
protein	PLCG1
protein	PLCG2
protein	BCL2
protein	LYN
protein	EPO
protein	HRAS
protein	JAK2
protein	SOCS3
protein	INPP5D
complex	TEC/VAV2/GRB2
complex	TEC/VAV2
complex	STAT5 (dimer)
complex	STAT1 (dimer)
complex	SHC/Grb2/SOS1
complex	PI3K regualtory subunit polypeptide 1/IRS2/SHIP
complex	LYN/PLCgamma2
complex	GAB1/SHIP/PIK3R1/SHP2/SHC
complex	GAB1/SHC/GRB2/SOS1
complex	EPOR/TRPC2/IP3 Receptors
complex	EPO/EPOR (dimer)/SOCS3
complex	EPO/EPOR (dimer)/LYN
complex	EPO/EPOR (dimer)/JAK2/SOCS3
complex	EPO/EPOR (dimer)/JAK2
complex	EPO/EPOR (dimer)
complex	EPO/EPOR
complex	CRKL/CBL/C3G
chemical	mol:IP3
chemical	mol:GDP
chemical	mol:DAG
abstract	elevation of cytosolic calcium ion concentration
abstract	cell proliferation
EPO/EPOR (dimer)/LYN	MAPK14	-a>
EPO/EPOR (dimer)/LYN	STAT5B	-a>
EPO/EPOR (dimer)/LYN	MAPK8	-a>
EPO/EPOR (dimer)/LYN	STAT5A	-a>
EPO/EPOR (dimer)/LYN	STAT1	-a>
EPO/EPOR (dimer)/LYN	NFKB1	-a>
EPO/EPOR (dimer)/LYN	PLCG1	-a>
EPO/EPOR (dimer)/JAK2	IRS2	-a>
EPO/EPOR (dimer)/JAK2	GAB1	-a>
EPO/EPOR (dimer)/JAK2	BTK	-a>
EPO/EPOR (dimer)/JAK2	RAP1A	-a>
EPO/EPOR (dimer)/JAK2	VAV2	-a>
EPO/EPOR (dimer)/JAK2	STAT5B	-a>
EPO/EPOR (dimer)/JAK2	CRKL	-a>
EPO/EPOR (dimer)/JAK2	TEC	-a>
EPO/EPOR (dimer)/JAK2	STAT5A	-a>
EPO/EPOR (dimer)/JAK2	STAT1	-a>
EPO/EPOR (dimer)/JAK2	PTPN6	-a>
EPO/EPOR (dimer)/JAK2	CBL	-a>
EPO/EPOR (dimer)/JAK2	PLCG1	-a>
EPO/EPOR (dimer)/JAK2	SHC/Grb2/SOS1	-a>
