protein	CAMK2A
protein	PTGES2
protein	CREBBP
protein	PIAS4
protein	MAP3K11
protein	RAPGEF1
protein	CAMK2D
protein	CAMK2G
protein	CAMK2B
protein	MAP3K1
protein	EP300
protein	PTPN11
protein	PRKCD
protein	MAP2K1
protein	IRF9
protein	RAP1A
protein	CALM1
protein	RAP1B
protein	DAPK1
protein	CRKL
protein	FRAP1
protein	PIK3CA
protein	STAT1
protein	STAT3
protein	AKT1
protein	CASP1
protein	MAPK1
protein	PIK3R1
protein	MAPK3
protein	JAK1
protein	CBL
protein	PTPN2
protein	PTPN2
protein	CEBPB
protein	IFNGR1
protein	IRF1
protein	IFNG
protein	PIAS1
protein	JAK2
protein	SOCS1
protein	SMAD7
complex	STAT3 (dimer)
complex	STAT1 (dimer)/SHP2
complex	STAT1 (dimer)/PIASy
complex	STAT1 (dimer)/PIAS1
complex	STAT1 (dimer)/Cbp/p300
complex	STAT1 (dimer)
complex	Rap1/GTP
complex	RAP1/GDP
complex	PI3K
complex	IFN-gammaR/JAK1/JAK1/JAK2/JAK2
complex	IFN-gamma/IFN-gammaR/JAK1/JAK1/JAK2/JAK2/SOCS1
complex	IFN-gamma/IFN-gammaR/JAK1/JAK1/JAK2/JAK2  /TC-PTP
complex	IFN-gamma/IFN-gammaR/JAK1/JAK1/JAK2/JAK2
complex	IFN-gamma (dimer)
complex	CaM/Ca2+/CAMKII
complex	CaM/Ca2+
complex	CRKL/C3G
complex	CEBPB/PTGES2/Cbp/p300
complex	CBL/CRKL/C3G
chemical	mol:PI-3-4-5-P3
chemical	mol:GTP
chemical	mol:GDP
chemical	mol:Ca2+
abstract	positive regulation of NF-kappaB transcription factor activity
abstract	negative regulation of cell growth
abstract	apoptosis
abstract	antigen processing and presentation of peptide antigen via MHC class II
abstract	antigen processing and presentation of peptide antigen via MHC class I
STAT1 (dimer)/Cbp/p300	IRF1	-t>
STAT1 (dimer)	negative regulation of cell growth	-ap>
STAT1 (dimer)	apoptosis	-ap>
STAT1 (dimer)	antigen processing and presentation of peptide antigen via MHC class II	-ap>
STAT1 (dimer)	antigen processing and presentation of peptide antigen via MHC class I	-ap>
STAT1 (dimer)	CASP1	-t>
STAT1 (dimer)	MAPK1	-a>
STAT1 (dimer)	MAPK3	-a>
STAT1 (dimer)	SMAD7	-t>
PI3K	mol:PI-3-4-5-P3	-a>
PI3K	PRKCD	-a>
PI3K	AKT1	-a>
IFN-gamma/IFN-gammaR/JAK1/JAK1/JAK2/JAK2	mol:Ca2+	-a>
IFN-gamma/IFN-gammaR/JAK1/JAK1/JAK2/JAK2	MAP3K11	-a>
IFN-gamma/IFN-gammaR/JAK1/JAK1/JAK2/JAK2	MAP3K1	-a>
IFN-gamma/IFN-gammaR/JAK1/JAK1/JAK2/JAK2	PTPN11	-a>
IFN-gamma/IFN-gammaR/JAK1/JAK1/JAK2/JAK2	STAT1	-a>
IFN-gamma/IFN-gammaR/JAK1/JAK1/JAK2/JAK2	CBL	-a>
IFN-gamma/IFN-gammaR/JAK1/JAK1/JAK2/JAK2	PI3K	-a>
IFN-gamma/IFN-gammaR/JAK1/JAK1/JAK2/JAK2	CaM/Ca2+/CAMKII	-a>
CaM/Ca2+/CAMKII	STAT1 (dimer)	-a>
CEBPB/PTGES2/Cbp/p300	IRF9	-t>
CBL/CRKL/C3G	mol:GDP	-a>
CBL/CRKL/C3G	Rap1/GTP	-a>
