protein	MAPK8IP3
protein	EXOC7
protein	EXOC1
protein	EXOC2
protein	EXOC4
protein	EXOC6
protein	VAMP3
protein	ACAP1
protein	PLD1
protein	KLC1
protein	CLTC
protein	ARF6
protein	DNM2
protein	CTNNB1
protein	CTNNA1
protein	AVPR2
protein	SDC1
protein	CPE
protein	TSHR
protein	NME1
protein	JUP
protein	SLC2A4
protein	CD59
protein	CDH1
protein	RALA
protein	CHRM2
protein	ADRB2
protein	IL2RA
protein	INS
protein	CTNND1
protein	EXOC3
protein	PIP5K1C
protein	SPAG9
protein	ASAP2
protein	SCAMP2
protein	PLD2
protein	BIN1
protein	EXOC5
complex	exocyst
complex	clathrin heavy chain/ACAP1
complex	RALA/GTP
complex	JIP4/KLC1
complex	GLUT4/clathrin heavy chain/ACAP1
complex	E-cadherin/beta catenin
complex	E-cadherin/Ca2+/beta catenin/alpha catenin/p120 catenin
complex	Dynamin 2/GTP
complex	Dynamin 2/GDP
complex	ASAP2/amphiphysin II
complex	ARF6/GTP/JIP3
complex	ARF6/GTP/ARF6/GTP/JIP4/Dynactin Complex
complex	ARF6/GTP
complex	ARF6/GDP
chemical	mol:Phosphatidic acid
chemical	mol:PI-4-5-P2
chemical	mol:GTP
chemical	mol:GDP
chemical	mol:Choline
chemical	mol:Ca2+
abstract	substrate adhesion-dependent cell spreading
abstract	regulation of calcium-dependent cell-cell adhesion
abstract	receptor recycling
abstract	positive regulation of phagocytosis
abstract	positive regulation of endocytosis
abstract	membrane fusion
abstract	membrane depolarization
abstract	insulin receptor binding
abstract	growth hormone secretagogue receptor activity
abstract	endocytosis
abstract	clathrin-independent pinocytosis
abstract	clathrin coat assembly
abstract	calcium ion-dependent exocytosis
PLD2	ACAP1	-a>
BIN1	ASAP2/amphiphysin II	component>
EXOC5	exocyst	component>
RALA/GTP	PLD1	-a>
RALA/GTP	PLD2	-a>
E-cadherin/beta catenin	regulation of calcium-dependent cell-cell adhesion	-ap|
Dynamin 2/GTP	mol:Ca2+	-a>
Dynamin 2/GTP	CTNNA1	-a>
Dynamin 2/GTP	CTNND1	-a>
Dynamin 2/GTP	E-cadherin/beta catenin	-a>
ASAP2/amphiphysin II	endocytosis	-ap|
ARF6/GTP/ARF6/GTP/JIP4/Dynactin Complex	JIP4/KLC1	-a|
ARF6/GTP	receptor recycling	-ap>
ARF6/GTP	positive regulation of endocytosis	-ap>
ARF6/GTP	exocyst	-a>
ARF6/GTP	clathrin-independent pinocytosis	-ap>
ARF6/GTP	VAMP3	-a>
ARF6/GTP	PLD1	-a>
ARF6/GTP	CPE	-a>
ARF6/GTP	TSHR	-a>
ARF6/GTP	NME1	-a>
ARF6/GTP	PIP5K1C	-a>
ARF6/GTP	PLD2	-a>
ARF6/GTP	GLUT4/clathrin heavy chain/ACAP1	-a>
ARF6/GTP	ASAP2/amphiphysin II	-a>
ARF6/GDP	CLTC	-a>
ARF6/GDP	SDC1	-a>
ARF6/GDP	JUP	-a>
ARF6/GDP	CD59	-a>
ARF6/GDP	CDH1	-a>
ARF6/GDP	CHRM2	-a>
ARF6/GDP	IL2RA	-a>
